                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0264,                 3.3888,                  1.287,                0.01969,                0.95932,                0.43094,                 0.3138,                0.84218,                 2.8154,                0.85385,             0.00031438,             0.00031438,             0.00031438
                      2,                0.98141,                 2.1193,                 1.1956,                0.83412,                0.54027,                0.81053,                 0.5749,                 1.0278,                 2.0704,                0.95876,             0.00063396,             0.00063396,             0.00063396
                      3,                0.94999,                 1.2537,                 1.1813,                0.80066,                0.84744,                0.84532,                0.65974,                 0.7795,                 1.2745,                0.91367,             0.00094423,             0.00094423,             0.00094423
                      4,                 0.8759,                   1.02,                 1.1496,                0.90522,                0.85853,                0.94837,                0.73174,                0.76428,                 1.0995,                0.96315,              0.0012452,              0.0012452,              0.0012452
                      5,                0.84999,                0.97785,                 1.1516,                 0.9052,                0.85834,                0.94667,                0.77448,                0.69763,                0.85907,                0.96778,              0.0013482,              0.0013482,              0.0013482
                      6,                0.84538,                 0.9529,                 1.1417,                0.92687,                0.82959,                0.93645,                0.75558,                0.71166,                 0.9448,                0.96183,              0.0013482,              0.0013482,              0.0013482
                      7,                0.86315,                0.93329,                 1.1517,                0.91492,                0.86199,                0.94824,                0.79634,                0.68857,                0.90432,                0.97293,              0.0013279,              0.0013279,              0.0013279
                      8,                 0.8341,                0.89933,                 1.1368,                0.97422,                0.89634,                 0.9406,                0.79245,                0.69136,                0.64479,                0.96269,              0.0013077,              0.0013077,              0.0013077
                      9,                0.82145,                0.86592,                 1.1335,                 0.9768,                 0.9324,                0.97866,                0.83791,                0.62297,                0.64607,                0.95869,              0.0012875,              0.0012875,              0.0012875
                     10,                 0.8179,                0.83624,                 1.1139,                0.90235,                0.88428,                0.93832,                0.80146,                0.63731,                0.78466,                0.94594,              0.0012673,              0.0012673,              0.0012673
                     11,                  0.787,                0.78519,                 1.1144,                0.97458,                0.92721,                0.97202,                  0.802,                0.68916,                0.65706,                0.97002,              0.0012471,              0.0012471,              0.0012471
                     12,                 0.7886,                0.81694,                 1.1154,                0.92465,                0.91203,                0.96141,                0.75695,                0.67351,                 0.7728,                0.97548,              0.0012269,              0.0012269,              0.0012269
                     13,                0.75647,                0.76867,                 1.0929,                0.95852,                0.93592,                0.97982,                0.83576,                0.59363,                0.63299,                0.92548,              0.0012067,              0.0012067,              0.0012067
                     14,                0.71557,                0.73884,                 1.0642,                0.92745,                 0.9006,                0.97385,                0.83286,                0.60018,                0.70037,                0.91557,              0.0011865,              0.0011865,              0.0011865
                     15,                0.76307,                0.74561,                 1.0788,                0.98106,                0.94083,                0.98327,                0.84803,                0.58709,                0.56777,                0.92379,              0.0011663,              0.0011663,              0.0011663
                     16,                0.70335,                0.71079,                  1.062,                0.95647,                0.89965,                0.97297,                0.85871,                0.55645,                0.58695,                0.89924,              0.0011461,              0.0011461,              0.0011461
                     17,                0.72273,                0.71875,                 1.0731,                0.96868,                0.93228,                 0.9735,                0.83989,                0.58804,                0.54973,                0.91491,              0.0011258,              0.0011258,              0.0011258
                     18,                0.72938,                0.72496,                 1.0634,                0.97953,                0.92793,                0.97691,                0.83399,                0.61955,                0.61281,                0.92518,              0.0011056,              0.0011056,              0.0011056
                     19,                0.69648,                0.68058,                 1.0462,                0.98885,                0.93833,                0.98205,                0.85773,                0.57112,                0.52661,                0.90611,              0.0010854,              0.0010854,              0.0010854
                     20,                0.69697,                 0.6774,                 1.0493,                0.98398,                 0.9385,                0.98333,                0.85384,                0.58009,                0.50548,                0.90788,              0.0010652,              0.0010652,              0.0010652
                     21,                0.69752,                0.68483,                 1.0415,                 0.9778,                0.91206,                0.97907,                0.85687,                0.55064,                0.54078,                 0.8989,               0.001045,               0.001045,               0.001045
                     22,                0.69991,                0.66259,                 1.0655,                0.98614,                0.90733,                 0.9601,                 0.8368,                0.58241,                0.51738,                0.91148,              0.0010248,              0.0010248,              0.0010248
                     23,                0.70872,                0.66872,                 1.0518,                0.94742,                0.92156,                0.98536,                0.85736,                0.53949,                0.59442,                0.90016,              0.0010046,              0.0010046,              0.0010046
                     24,                0.67141,                0.64818,                 1.0388,                 0.9895,                0.92466,                0.97643,                0.85416,                0.55803,                0.50021,                0.90734,             0.00098438,             0.00098438,             0.00098438
                     25,                0.67754,                0.63993,                 1.0337,                0.97151,                 0.9352,                0.98137,                0.86629,                0.53517,                0.49815,                0.89056,             0.00096417,             0.00096417,             0.00096417
                     26,                 0.6476,                0.61503,                 1.0214,                 0.9704,                 0.9391,                0.98459,                0.85894,                0.58597,                0.48457,                0.90519,             0.00094396,             0.00094396,             0.00094396
