                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.923,                 4.0008,                  1.508,                0.03035,                0.87359,                0.44761,                0.24461,                 1.2739,                 3.9365,                0.96122,             0.00031438,             0.00031438,             0.00031438
                      2,                 2.1556,                 3.4811,                  1.238,                0.03598,                0.87868,                0.40055,                0.23544,                 1.6249,                 3.6493,                 1.0427,             0.00060061,             0.00060061,             0.00060061
                      3,                  1.971,                 3.0719,                 1.1436,                0.96833,                0.23919,                0.58704,                0.33879,                 2.1047,                 2.9762,                  1.147,             0.00084345,             0.00084345,             0.00084345
                      4,                  1.799,                 2.7374,                 1.0896,                0.78623,                 0.2904,                0.50512,                0.33568,                 1.5613,                 2.6676,                  1.025,              0.0010429,              0.0010429,              0.0010429
                      5,                 1.6824,                 2.3469,                 1.0648,                0.81286,                0.33376,                0.45077,                0.30608,                 1.4146,                 2.7214,                 1.0093,              0.0010517,              0.0010517,              0.0010517
                      6,                 1.3129,                 1.5503,                 1.0741,                0.57269,                0.54797,                0.56661,                0.36314,                 1.2636,                 3.1583,                0.96921,              0.0010517,              0.0010517,              0.0010517
                      7,                 1.0603,                 1.1187,                 1.0071,                0.56989,                0.54244,                0.49713,                0.34721,                 1.2677,                 1.9039,                0.97507,             0.00095743,             0.00095743,             0.00095743
                      8,                0.99208,                0.98226,                0.96594,                0.59185,                0.75981,                0.76112,                0.53221,                 1.0767,                 1.7747,                0.93261,             0.00086312,             0.00086312,             0.00086312
                      9,                0.89159,                0.90311,                0.97588,                0.59342,                0.71489,                 0.7422,                0.56668,                0.98222,                 1.7867,                0.92568,              0.0007688,              0.0007688,              0.0007688
                     10,                0.89061,                0.82743,                0.96016,                0.69438,                0.60419,                0.66345,                0.49272,                 1.0343,                 1.6273,                0.92507,             0.00067449,             0.00067449,             0.00067449
                     11,                0.81054,                0.75498,                0.95688,                0.48064,                0.58847,                0.52086,                0.38267,                 0.9554,                 1.8797,                0.92286,             0.00058017,             0.00058017,             0.00058017
                     12,                0.76225,                 0.7163,                0.94455,                0.52623,                0.53302,                0.49341,                0.37148,                0.97532,                 1.8813,                0.92068,             0.00048586,             0.00048586,             0.00048586
                     13,                0.67761,                0.68307,                0.93694,                 0.4503,                0.48419,                0.38537,                0.30205,                0.87846,                 2.0468,                0.91084,             0.00039155,             0.00039155,             0.00039155
                     14,                 0.6658,                0.64121,                0.94394,                0.26763,                0.56967,                0.27351,                0.20293,                0.87323,                 2.1297,                0.91338,             0.00029723,             0.00029723,             0.00029723
                     15,                0.68044,                 0.6117,                 0.9433,                0.30576,                0.62261,                0.31408,                0.24226,                0.84242,                 2.1011,                0.90927,             0.00020292,             0.00020292,             0.00020292
