                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3818,                 3.8938,                 1.3148,                0.02319,                0.88077,                0.31499,                0.18807,                0.81936,                 3.5273,                0.93969,             0.00031438,             0.00031438,             0.00031438
                      2,                 1.1238,                  3.105,                 1.1737,                0.64898,                0.53371,                0.56627,                0.40354,                 0.9619,                 2.5585,                0.98044,             0.00063396,             0.00063396,             0.00063396
                      3,                 1.1291,                 2.2523,                 1.1141,                0.77853,                0.48818,                0.67026,                0.46518,                 1.1521,                 2.3976,                 1.0752,             0.00094423,             0.00094423,             0.00094423
                      4,                 1.1021,                 1.7027,                 1.0881,                0.71452,                 0.7239,                0.86948,                0.56727,                 1.3318,                 1.6647,                 1.1179,              0.0012452,              0.0012452,              0.0012452
                      5,                  1.052,                 1.3199,                 1.0817,                0.91218,                0.83299,                0.89384,                0.64379,                 1.0648,                0.98738,                  1.049,              0.0013482,              0.0013482,              0.0013482
                      6,                0.99086,                  1.153,                 1.0582,                0.78913,                0.82822,                0.85047,                0.62558,                0.94272,                 1.0063,                 1.0407,              0.0013482,              0.0013482,              0.0013482
                      7,                0.93351,                 1.0479,                 1.0526,                0.89978,                0.86237,                0.89073,                0.69157,                0.90411,                 0.8417,                 1.0303,              0.0013279,              0.0013279,              0.0013279
                      8,                0.89055,                0.93535,                 1.0376,                0.91793,                0.79895,                0.83928,                0.66719,                0.89121,                0.88719,                 1.0258,              0.0013077,              0.0013077,              0.0013077
                      9,                0.87747,                0.88098,                 1.0319,                0.94196,                0.84095,                 0.8795,                0.67783,                0.89471,                0.77727,                 1.0143,              0.0012875,              0.0012875,              0.0012875
                     10,                0.87676,                0.87278,                 1.0241,                0.96664,                0.85947,                0.88696,                0.72258,                0.84896,                0.72852,                 1.0013,              0.0012673,              0.0012673,              0.0012673
                     11,                0.85225,                0.79727,                 1.0231,                0.92491,                0.83833,                 0.8783,                0.71988,                0.81407,                0.77892,                 1.0009,              0.0012471,              0.0012471,              0.0012471
                     12,                0.85787,                0.78898,                 1.0339,                0.92393,                 0.8613,                0.89526,                0.76258,                0.75437,                0.70601,                0.97865,              0.0012269,              0.0012269,              0.0012269
                     13,                0.82657,                0.73546,                 1.0187,                0.98602,                0.86763,                0.89453,                0.76436,                0.74364,                0.68338,                0.96992,              0.0012067,              0.0012067,              0.0012067
